data,label,vector
VVBEQVRFIGB0YWJgIFNFVCBgY29sMmAgPSA3IFdIRVJFIGBjb2wxYCA8IC0xNDA5MDI0MDAwOw==,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sMWAgPSAxIFdIRVJFIGBjb2wxYCBMSUtFICclJ2YnJSc7,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sMWAgPSAwIFdIRVJFIGBjb2wzYCA9ICd4JyBMSU1JVCAnKHx8NiknOw==,attack,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sM2AgPSA0IFdIRVJFIGBjb2wzYCA8IC03NjQ0MTE5MDQgTElNSVQgMTc0NTAyNzA3Mjs=,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sM2AgPSA1IFdIRVJFIGBjb2wyYCA8IC0xODI0OTE1NDU2IE9SIGBjb2wzYCA8IDEwNjk3NDQxMjggQU5EIGBjb2wzYCA+PSAtNjAwNzAyOTc2IE9SIGBjb2wxYCA+PSAtMTMyMTA3NDY4OCBPUiBgY29sMWAgTElLRSAiJSd3aGVuJyUiIEFORCBgY29sMWAgPj0gLTc4ODM5ODA4Ow==,sane,"[0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0]"
REVMRVRFIEZST00gYHRhYmAgV0hFUkUgYGNvbDNgID0gJ2cnOw==,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0]"
SU5TRVJUIElOVE8gYHRhYmAgKCBgY29sM2AgKSBWQUxVRVMgKCAnbicgKTs=,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0]"
REVMRVRFIEZST00gYHRhYmAgV0hFUkUgYGNvbDFgIDwgLTI3NzM0ODM1MiBBTkQgYGNvbDNgIDwgMzQ2MjkyMjI0IExJTUlUIDIwOTI0OTg5NDQ7,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0]"
Q1JFQVRFIElOREVYIGlkeF90YWJsZTFfaW50X2F1dG9pbmNfYGNvbF9lbnVtX3V0Zjhfbm90X251bGxfa2V5IE9OIHRhYmxlMV9pbnRfYXV0b2luYyhgY29sX2VudW1fdXRmOF9ub3RfbnVsbF9rZXkpOw==,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
U0VMRUNUIGBjb2wyYCwgYGNvbDJgIEZST00gYHRhYmAgV0hFUkUgYGNvbDFgID0gLTEzNjY2MjIyMDg7,sane,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0]"
SU5TRVJUIElOVE8gYHRhYmAgKCBgY29sM2AgKSBWQUxVRVMgKCAtMTA1NjMwOTI0OCApOw==,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sMWAgPSA3IFdIRVJFIGBjb2wzYCA9ICdnJzs=,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sMmAgPSA5IFdIRVJFIGBjb2wzYCBMSUtFICIlJ2InJSIgTElNSVQgImV4ZWMgc3BfYWRkc3J2cm9sZW1lbWJlciAnbmFtZScgLCAnc3lzYWRtaW4nIjs=,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sM2AgPSA1IFdIRVJFIGBjb2wyYCA9ICclIikpKSBBTkQgNzAzMD1DT05DQVQoQ0hBUigxMTMpK0NIQVIoMTIyKStDSEFSKDExMikrQ0hBUig5OCkrQ0hBUigxMTMpLChTRUxFQ1QgKENBU0UgV0hFTiAoNzAzMD03MDMwKSBUSEVOIENIQVIoNDkpIEVMU0UgQ0hBUig0OCkgRU5EKSksQ0hBUigxMTMpK0NIQVIoMTIwKStDSEFSKDExOCkrQ0hBUigxMTMpK0NIQVIoMTEzKSkgQU5EICgoKCIlIj0iJzs=,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0
 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0]"
REVMRVRFIEZST00gYHRhYmAgV0hFUkUgYGNvbDJgIDwgLTE3NDQ2MzM4NTYgTElNSVQgMjY0MDQ0NTQ0Ow==,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sMWAgPSA5IFdIRVJFIGBjb2wxYCA9ICd0aGVuJyBMSU1JVCAxOTAwNTQ0Ow==,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sMmAgPSAzIFdIRVJFIGBjb2wzYCA9ICdmeGxvbnF2d3h2YmV2YWZxb3F2aScgTElNSVQgLTU4MTUwMDkyODs=,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sMWAgPSA0IFdIRVJFIGBjb2wzYCBMSUtFICIlJ2QnJSI7,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0]"
aWYgbm90KHN1YnN0cmluZygoc2VsZWN0IEBAdmVyc2lvbiksMjQsMSkgPD4gMSkgd2FpdGZvciBkZWxheSAnMDowOjInIC0tIiBPUiBgY29sMWAgTElLRSAiJSdlJyUiIExJTUlUICInIHVuaW9uIChzZWxlY3QgQEB2ZXJzaW9uKSAtLSI7ClNFTEVDVCBgY29sMWAgRlJPTSBgdGFiYCBXSEVSRSBgY29sMWAgTElLRSAiJSdhJyUiIE9SIGBjb2wzYCBMSUtFICclJ3QnJScgT1IgYGNvbDFgIExJS0UgJyUndyclJyBPUiBgY29sMmAgTElLRSAnJSd6JyUnIE9SIGBjb2wxYCBMSUtFICIlJ2knJSIgT1IgYGNvbDJgIDwgIic7ClVQREFURSBgdGFiYCBTRVQgYGNvbDJgID0gMyBXSEVSRSBgY29sMmAgPSAiJyBBTkQgMT11dGxfaW5hZGRyLmdldF9ob3N0X2FkZHJlc3MoKFNFTEVDVCBESVNUSU5DVChjb2x1bW5fbmFtZSkgRlJPTSAoU0VMRUNUIERJU1RJTkNUKGNvbHVtbl9uYW1lKSwgUk9XTlVNIEFTIExJTUlUIEZST00gYWxsX3RhYl9jb2x1bW5zKSBXSEVSRSBMSU1JVD00KSkgQU5EICdpJz0naSI7CiBpZiBub3Qoc3Vic3RyaW5nKChzZWxlY3QgQEB2ZXJzaW9uKSwyNSwxKSA8PiAwKSB3YWl0Zm9yIGRlbGF5ICcwOjA6MicgLS0iIEFORCBgY29sMWAgPj0gJ2EnIE9SIGBjb2wzYCBMSUtFICIlJ2onJSIgQU5EIGBjb2wzYCBMSUtFICclJ3onJScgQU5EIGBjb2wxYCA9ICciKSkpIE9SIFJPVyg2MTQwLDgxODgpPihTRUxFQ1QgQ09VTlQoKiksQ09OQ0FUKDB4NzE3YTcwNjI3MSwoU0VMRUNUIChFTFQoNjE0MD02MTQwLDEpKSksMHg3MTc4NzY3MTcxLEZMT09SKFJBTkQoMCkqMikpeCBGUk9NIChTRUxFQ1QgOTcwOSBVTklPTiBTRUxFQ1QgODUzNyBVTklPTiBTRUxFQ1QgMzA1MyBVTklPTiBTRUxFQ1QgODYzMilhIEdST1VQIEJZIHgpIEFORCAoKCgiRlJHVyIgTElLRSAiRlJHVyc7,attack,"[0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 1 1 0 0
 1 0 0 1 0 0 1 1 0 1 1 0 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 1 0 0 0]"
SU5TRVJUIElOVE8gYHRhYmAgKCBgY29sMWAsIGBjb2wxYCApIFZBTFVFUyAoICdkJywgJyBVTklPTiBBTEwgU0VMRUNUIE5VTEwsTlVMTCxOVUxMIycgKTs=,attack,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sMWAgPSAyIFdIRVJFIGBjb2wxYCBMSUtFICclJ3NvJyUnIExJTUlUIDk2NzQ0MjQzMjs=,sane,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0]"
U0VMRUNUIGBjb2wyYCwgYGNvbDNgLCBgY29sM2AsIGBjb2wxYCBGUk9NIGB0YWJgIFdIRVJFIGBjb2wyYCA9ICdyd2tkZnNzZicgTElNSVQgMTczODQ3MzQ3MiwtNzExNTg5ODg4Ow==,sane,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0]"
U0VMRUNUICogRlJPTSBgdGFiYCBXSEVSRSBgY29sMWAgPSAneCcgTElNSVQgLTE2NjU5MjUxMjA7,sane,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0]"
REVMRVRFIEZST00gYHRhYmAgV0hFUkUgYGNvbDNgID0gIicgT1IgMTU1MT0oU0VMRUNUIENPVU5UKCopIEZST00gUkRCJEZJRUxEUyBBUyBUMSxSREIkVFlQRVMgQVMgVDIsUkRCJENPTExBVElPTlMgQVMgVDMsUkRCJEZVTkNUSU9OUyBBUyBUNCktLSIgQU5EIGBjb2wzYCBMSUtFICclJ3onJSc7,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0
 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sM2AgPSAwIFdIRVJFIGBjb2wxYCA+PSAtMTYzNTEyMzIwIE9SIGBjb2wzYCA9ICdoJzs=,sane,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0]"
SU5TRVJUIElOVE8gYHRhYmAgKCBgY29sM2AgKSBWQUxVRVMgKCAtMTU2OTMyNTA1NiApOw==,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0]"
SU5TRVJUIElOVE8gYHRhYmAgKCBgY29sMmAsIGBjb2wyYCApIFZBTFVFUyAoIC01NTEyMjMyOTYsIC0xODgzMDQ1ODg4ICk7,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0]"
aWYgbm90KHN1YnN0cmluZygoc2VsZWN0IEBAdmVyc2lvbiksMjUsMSkgPD4gOCkgd2FpdGZvciBkZWxheSAnMDowOjInIC0tIiwgIicpKSkgVU5JT04gQUxMIFNFTEVDVCBOVUxMIyIgKTsKVVBEQVRFIGB0YWJgIFNFVCBgY29sMmAgPSA1IFdIRVJFIGBjb2wzYCA9ICInIEFORCAxPXV0bF9pbmFkZHIuZ2V0X2hvc3RfYWRkcmVzcygoU0VMRUNUIFNZUy5EQVRBQkFTRV9OQU1FIEZST00gRFVBTCkpIEFORCAnaSc9J2kiOw==,attack,"[0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 1 1 0 0
 1 0 0 0 0 0 1 0 0 1 1 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0]"
SU5TRVJUIElOVE8gYHRhYmAgKCBgY29sMmAgKSBWQUxVRVMgKCA5NzE4MzMzNDQgKTs=,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0]"
KGxvYWRfZmlsZShjaGFyKDQ3LDEwMSwxMTYsOTksNDcsMTEyLDk3LDExNSwxMTUsMTE5LDEwMCkpKSwxLDEsMTs=,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sMmAgPSA0IFdIRVJFIGBjb2wyYCA9IC0xOTc1Nzc5MzI4Ow==,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sM2AgPSA3IFdIRVJFIGBjb2wzYCA9ICdpJyBPUiBgY29sMWAgTElLRSAnJSdzYXN1biclJyBBTkQgYGNvbDFgIDwgLTExMTkzNTQ4OCBPUiBgY29sMmAgPSAnYXN1bmNwaHVsdnB6bHFqdmh2bXR6cnl4eHJ1Y2QnIEFORCBgY29sMWAgPj0gLTYzMDk4MDYwOCBMSU1JVCAtMTgyMjE2Mjk0NDs=,sane,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0]"
REVMRVRFIEZST00gYHRhYmAgV0hFUkUgYGNvbDNgIExJS0UgIiUnbSclIiBMSU1JVCAiJzsKREVMRVRFIEZST00gYHRhYmAgV0hFUkUgYGNvbDJgIExJS0UgIiUnayclIiBMSU1JVCAiOw==,attack,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0]"
SU5TRVJUIElOVE8gYHRhYmAgKCBgY29sMWAgKSBWQUxVRVMgKCAiJykgVU5JT04gQUxMIFNFTEVDVCBOVUxMLE5VTEwsTlVMTCxOVUxMLE5VTEwsTlVMTCxOVUxMLS0gdXNEcCIgKTs=,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0]"
U0VMRUNUIGBjb2wyYCwgYGNvbDNgIEZST00gYHRhYmAgV0hFUkUgYGNvbDJgID49IC0xNzkwMDUwMzA0IExJTUlUIC0xOTYyNzM3NjY0LDE4ODAyMjc4NDs=,sane,"[0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0]"
REVMRVRFIEZST00gYHRhYmAgV0hFUkUgYGNvbDFgIDwgMTg4MjkxNDgxNiBMSU1JVCAzMDg3NDAwOTY7,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0]"
